Video Filename,Small Count_Method1,Small Count_Method2,Difference
segment_180_420.mp4,0.0,0.0,0.0
segment_840_1080.mp4,3.0,2.0,-1.0
segment_1500_1740.mp4,0.0,0.0,0.0
segment_2100_2340.mp4,1.0,0.0,-1.0
segment_2520_2760.mp4,0.0,0.0,0.0
segment_2880_3120.mp4,3.0,1.0,-2.0
segment_3300_3540.mp4,,,
segment_3720_3960.mp4,4.0,1.0,-3.0
segment_4080_4320.mp4,0.0,0.0,0.0
segment_4560_4800.mp4,2.0,1.0,-1.0
segment_4980_5220.mp4,1.0,1.0,0.0
segment_5640_5880.mp4,3.0,1.0,-2.0
segment_6000_6240.mp4,,,
segment_6600_6840.mp4,,,
segment_7200_7440.mp4,2.0,0.0,-2.0
segment_7740_7980.mp4,3.0,1.0,-2.0
segment_8340_8580.mp4,,,
segment_9000_9240.mp4,0.0,0.0,0.0
segment_9600_9840.mp4,1.0,1.0,0.0
segment_10260_10500.mp4,0.0,0.0,0.0
segment_10680_10920.mp4,,,
segment_11160_11400.mp4,,,
segment_11820_12060.mp4,0.0,0.0,0.0
segment_12300_12540.mp4,0.0,0.0,0.0
segment_12900_13140.mp4,0.0,0.0,0.0
segment_13320_13560.mp4,0.0,0.0,0.0
segment_13680_13920.mp4,0.0,0.0,0.0
segment_14160_14400.mp4,0.0,0.0,0.0
segment_14520_14760.mp4,0.0,0.0,0.0
segment_15000_15240.mp4,0.0,0.0,0.0
segment_15360_15600.mp4,0.0,0.0,0.0
segment_15900_16140.mp4,0.0,0.0,0.0
segment_16260_16500.mp4,0.0,0.0,0.0
segment_16740_16980.mp4,0.0,0.0,0.0
segment_17400_17640.mp4,0.0,0.0,0.0
segment_17940_18180.mp4,5.0,0.0,-5.0
segment_18360_18600.mp4,2.0,0.0,-2.0
segment_18840_19080.mp4,2.0,2.0,0.0
segment_19440_19680.mp4,0.0,0.0,0.0
segment_20040_20280.mp4,0.0,0.0,0.0
segment_20640_20880.mp4,,,
segment_21180_21420.mp4,2.0,0.0,-2.0
segment_21600_21840.mp4,1.0,0.0,-1.0
segment_22260_22500.mp4,3.0,1.0,-2.0
segment_22620_22860.mp4,6.0,1.0,-5.0
segment_23040_23280.mp4,0.0,0.0,0.0
segment_23520_23760.mp4,0.0,0.0,0.0
segment_24120_24360.mp4,,,
segment_24540_24780.mp4,,,
segment_25080_25320.mp4,,,
segment_25500_25740.mp4,2.0,0.0,-2.0
segment_25980_26220.mp4,0.0,0.0,0.0
segment_26640_26880.mp4,6.0,3.0,-3.0
segment_27240_27480.mp4,4.0,2.0,-2.0
segment_27900_28140.mp4,,,
segment_28500_28740.mp4,0.0,0.0,0.0
segment_29040_29280.mp4,,,
segment_29460_29700.mp4,0.0,0.0,0.0
segment_30060_30300.mp4,0.0,0.0,0.0
segment_30720_30960.mp4,0.0,0.0,0.0
segment_31080_31320.mp4,0.0,0.0,0.0
segment_31440_31680.mp4,1.0,0.0,-1.0
segment_32100_32340.mp4,0.0,0.0,0.0
segment_32520_32760.mp4,5.0,2.0,-3.0
segment_33000_33240.mp4,4.0,1.0,-3.0
segment_33420_33660.mp4,0.0,0.0,0.0
segment_33960_34200.mp4,2.0,1.0,-1.0
segment_34320_34560.mp4,1.0,0.0,-1.0
segment_34800_35040.mp4,2.0,1.0,-1.0
segment_35340_35580.mp4,1.0,0.0,-1.0
segment_35940_36180.mp4,1.0,0.0,-1.0
segment_36600_36840.mp4,4.0,0.0,-4.0
segment_37080_37320.mp4,0.0,0.0,0.0
segment_37440_37680.mp4,0.0,0.0,0.0
segment_37980_38220.mp4,1.0,1.0,0.0
segment_38460_38700.mp4,1.0,1.0,0.0
segment_39120_39360.mp4,2.0,0.0,-2.0
segment_39480_39720.mp4,5.0,2.0,-3.0
segment_40020_40260.mp4,0.0,0.0,0.0
segment_40680_40920.mp4,0.0,0.0,0.0
segment_41160_41400.mp4,4.0,3.0,-1.0
segment_41760_42000.mp4,0.0,0.0,0.0
segment_42240_42480.mp4,2.0,1.0,-1.0
segment_42660_42900.mp4,4.0,1.0,-3.0
segment_43020_43260.mp4,4.0,3.0,-1.0
segment_43440_43680.mp4,1.0,0.0,-1.0
segment_44100_44340.mp4,,,
segment_44700_44940.mp4,,,
segment_45120_45360.mp4,1.0,0.0,-1.0
segment_45540_45780.mp4,3.0,1.0,-2.0
segment_46020_46260.mp4,0.0,0.0,0.0
segment_46380_46620.mp4,0.0,0.0,0.0
segment_46860_47100.mp4,0.0,0.0,0.0
segment_47340_47580.mp4,3.0,0.0,-3.0
segment_47760_48000.mp4,2.0,2.0,0.0
segment_48240_48480.mp4,1.0,0.0,-1.0
segment_48900_49140.mp4,3.0,2.0,-1.0
segment_49500_49740.mp4,6.0,1.0,-5.0
